routine_id,tool_available,reset_rule,start_varsion,type,title,hou_to,reward,estimated_time,comment,sort_order
25,,weekly_sun_AM6:00,VER7,weekly,異界アスタルジア,異界アスタルジア,こころ装備,5~20分,1週するだけであれば楽なのでサクッと,11
26,,weekly_sun_AM6:00,VER5,weekly,ヴァリーブートキャンプ,ヴァリースタジアム,経験値,5~20分,一度行って合えば継続、めんどくさければスルー,12
27,,weekly_sun_AM6:00,,weekly,光るタル,ジュレットの町で泳いで入手,ウルベア銅貨｜ウルベア銀貨｜ウルベア金貨｜きんかい｜けんじゃのせいすい｜ふくびき券*5｜ふくびき券*10｜ふくびき券*20｜ビンゴ券*1｜メタルチケット｜はぐメタチケット｜メタキンチケット｜メタル迷宮招待券｜メタル迷宮ペア招待券｜ちいさなメダル｜せいかいじゅの葉｜エルフの飲み薬｜びっくりトマトのタネ,1分,サクッと,13
28,,weekly_sun_AM6:00,,weekly,掲示板,各町の掲示板でおひねり,ふくびき券*5,1分,サクッと,14
29,,weekly_sun_AM6:00,,weekly,達人クエスト,各町の達人より受注可能,宝珠,5~20分,簡単なお題であればサクッと,15
30,,weekly_sun_AM6:00,,weekly,アスフェルド学園,仲間にいいねする,友情の光300P,1分,サクッと,16
31,,毎月末付近　AM6:00,,monthly,ドラクエ10ポイント,メギストリスにて入手,DQ10ショップP100,1分,毎月末に不定期,1
32,,monthly_10_AM6:00,,monthly,ドラクエ10の日,各小国｜魔法の迷宮で入手,各種ボスカード｜プレゼントチケット,1分,サクッと,2
33,,monthly_1_15_AM6:00,,monthly,ロスター,レンドアモコモコハウスにて受注,ふくびき券*5｜ボスアクセサリー,5~10分,サクッと,3
34,,monthly_15_AM6:00,,monthly,レモンスライム,レンドアにて受注,ふくびき券,5~10分,サクッと,4
35,,monthly_1_AM6:00,,monthly,アスフェルド学園,アスフェルド学園内で部活,ドレア,5~10分,サクッと,5
36,,monthly_10_25_AM6:00,VER2,monthly,邪神の宮殿,邪神の宮殿にて戦闘,戦神のベルト,5~10分,目当てのベルト完成まではおすすめ,6
37,,monthly_1_15_AM6:00,,monthly,ナスガルド,レンドアにて受注,ボスカード｜各アイテム,10~20分,報酬が良いのでサクッと,7
38,,monthly_1_15_AM6:00,VER6,monthly,昏冥庫パニガルム,源世植物研究所,ステータスUP,5~10分,基礎ステータスアップのため毎月行いましょう,8
39,,monthly_1_AM6:00,VER7,monthly,異界の闘技場,異界アスタルジア,天啓の石,5~10分,報酬が良いのでサクッと,9
